高中英语单词表3500词乱序版（带音标）
a  art.一（个、件……）
Baby   n.婴儿
cab  n.（美）出租车
daddy   n.（口）爸爸，爹爹
each   a.&pron.每人.每个.每件
female  n.女；雌；英尺
gain   vt.赢得；挣得
ha  int.哈
I  pron.我
jacket  n.短上衣，夹克衫
keep  v.保持；保存；继续不断vt.培育，饲养
laboratory n.实验室
machine  n.机器
nail  n.钉，钉子
obey   v.服从，顺从，听从
pace   n.步子；节奏
quake  n.&v.震动，颤抖
rabbit  n.兔，家兔
sacred  a.害怕，恐惧，担心
shortly   ad.不久
special  a.特别的，专门的
surround   vt.围绕；包围
table   n.桌子，表格
ugly   a.丑陋的；难看的
vacation  n.假期，休假
wag  v.摇动；摆动
X-ray  n.X射线；X光
yard  n.码；院子；场地
zebra  n.斑马
puzzled  a.迷惑的，困惑的
condemn   v.谴责，指责，宣判
abandon   v.抛弃，舍弃，放弃
bachelor   n.未婚男子，单身汉
cabbage  n.卷心菜，洋白菜
daily   a.每日的；日常的ad.每天n.日报
eager   a.渴望的，热切的
face  n.脸vt.面向；面对
gale   n.强风（约每小时60英里）
habit  n.习惯，习性
ice  n.冰
jam  n.果酱；阻塞
keeper  n.（动物园中的）饲养员，看守人
labour  n.劳动
mada.发疯的；生气的
name  n.名字,姓名,名称vt.命名,名叫
object  n.物，物体；宾语
Pacific  a.太平洋的
qualification  n.资格，学历
race  n.种族，民族v.（速度）竞赛，比赛n.赛跑，竞赛
sacrifice  vt.牺牲
shorts  n.短裤；运动短裤
specialist  n.（医学）专家，专科医生；专家；专业人员
surrounding   a.周围的
tabletennis   n.乒乓球
UK  n.英国，联合王国
vacant  a.空缺的，未被占用的
wage  n.工资，工钱，报酬
yawn  v.打哈欠
zebra-crossing  人行横道线（斑马线）
attraction   n.吸引，爱慕
professor  n.教授
ability   n.能力；才能
back   ad.回（原处）；向后a.后面的n.背后，后部；背
café   n.咖啡馆；餐馆
dam   n.水坝，堰堤
eagle   n.鹰
facial   a.面部用的
gallery   n.画廊；美术品陈列室
hair  n.头发
ice-cream  n.冰淇淋
January  n.1月
kettle  n.水壶
labourer  n.体力劳动者
madame  n.夫人,女士
narrow  a.狭窄的
observe  v.观察，监视，观测
thePacificOcean   太平洋
quality  n.质量，性质
racial  a.种族的
sad  a.（使人）悲伤的
shortwave    n.短波
specific  a.明确的,具体的,独特的
survival   n.存活，幸存
tablet'tenɪsn.药片
umbrella  n.雨伞
vague  a.含糊的，紧迫的
waist  n.腰，腰部，腰围
year  n.年
zero  n.&num.零,零度,零点
control   vt.&n.控制
artist   n.艺术家
able  a.能够；有能力的
backache   n.背痛
cafeteria  n.自助餐厅
damage   n.&vt.毁坏，损害
ear   n.耳朵.耳状物；听力，听觉
fact  n.事实，现实
gallon   n.加仑
haircut  n.（男子）理发
Iceland  *n.冰岛
Japan  *n.日本
key  n.钥匙;答案;键;关键
lack  n.&vt.缺乏，缺少
magazine  n.杂志
nation  n.民族，国家
obtain   vt.获得；得到
pack   n.包,捆;（猎犬、野兽的）一群v.打包
quantity  n.量，数
radiation  n.放射，放射物
sadness  n.悲哀，忧伤
shot  n.射击，开枪，开炮，射击声；子弹
speech  n.演讲
survive   v.生存，存活，幸免于难
tail   n.尾巴
UN  n.联合国
vain  n.自负的，自视过高的，徒劳的，无效的
wait  vi.等，等候
yell  v.叫喊，吼叫
zip  v.&n.拉开……的拉链；拉链
pyramid  n.角锥形，金字塔
thebutterfly蝶泳
abnormal  a.反常的，变态的
background   n.背景
cage  n笼；鸟笼
damp   a.&n.潮湿（的）
early   a.早的ad.早地
factoryn.工厂
game   n.游戏；运动；比赛
half  a.&n.半，一半，半个
idea  n.主意,意见,打算,想法
Japanese  a.日本的，日本人的，日语的n.日本人，日语
keyboard  n.键盘
ladder  rn.梯子
magic  a.有魔力的
national  a.国家的,全国性的，民族的
obvious   a.显然
package   n.（尤指包装好或密封的容器）一包，一袋，一盒
quarrel  vi.争吵，吵架
radio  n.无线电，收音机
safe  a.安全的n.保险柜
should  v.mod.应当，应该，会v.aux.会,应该（shall的过去时态）
speed   n.速度v.（使）加速
suspect   n.犯罪嫌疑人
tailor   n.裁缝
unable  a.不能的，不能胜任的
valid  a.有效的,合理的,有根据的
waiter  n.（餐厅）男服务员
yellow  a.黄色的
zipcode  邮政区号
attractive   a.迷人的，有吸引力的
conduct  vt.引导，带领
aboard   prep.上（船，飞机，火车，汽车等）
backward  ad.向后
calculate  v.计算，核算，推测
dance   n.&vi.跳舞
earn  vt.挣得，赚得
fade   vi.褪色，（颜色）消退
garage   n.汽车间（库）
hall  n.大厅,会堂,礼堂;过道
identity  n.身份，特征
jar  n.罐子；坛子
kick  v.&n.踢
lady  n.女士，夫人
maid  n.女仆；侍女
nationality  n.国籍
occupation   n.职业，工作
packet   n.小包裹，袋
quarter  n.四分之一，一刻钟
radioactive  a.放射性的
safety  n.安全，保险
shoulder  n.肩膀,路肩
spell  vt.拼写
suspension   n.暂令停职,推迟,延期
take   vt.拿；拿走；做；服用；乘坐；花费
unbearable  a.难耐得,无法接受的
valley  n.山谷,溪谷
waiting-room  n.候诊室,候车室
yes  ad.是，好，同意
zipper  n.拉链
controversial   a.引起争论的,有争议的
profit  n.利润，收益
abolish   v.废除，废止
bacon   n.咸猪肉；熏猪肉
cake   n.蛋糕，糕点；饼
danger   n.危险
earth   n.地球；土，泥；大地
fail   v.失败；不及格；衰退
garbage   n.垃圾
ham  n.火腿
identification  n.鉴定，辨别
jaw  n.下巴
kid  n.小孩
lake   n.湖
mail  n.邮政,邮递v.邮寄
nationwide  ad.全国范围内的,全国性的
occur   vi.发生
paddle   n.桨状物，蹼
queen  n.皇后，女王
radium  n.镭
sail  n.航行v.航行，开航
shout   n.&v.喊，高声呼喊
spelling   n.拼写，拼读
swallow   vt.吞下；咽下
tale   n.故事,传说
unbelievable  a.难以置信的
valuable  a.值钱的，贵重的
waitress  n.女服务员
yesterday  n.&ad.昨天
zone  n.区域；范围
audience   n.观众，听众
as   ad.&conj.像……一样；如同；因为prep.作为，当做
abortion   v.人工流产，堕胎
bacterium   n.细菌
call   n.喊，叫；电话，通话v.称呼；呼唤；喊，叫
dangerous   a.危险的
earthquake   n.地震
failure   n.失败
garden   n.花园，果园，菜园
hamburger  n.汉堡包
idiom  n.习语，成语
jazz  n.爵士音乐，爵士舞曲
kill  v.杀死，弄死
lamb  n.羔羊
mailbox  n.邮筒；邮箱
native   a.本土的，本国的
ocean  n.海洋
page   n.页，页码
question  vt.询问n.问题
rag  n.破布，抹布
sailing  n.航海
show  n.展示,展览（会）;演出
spend  v.度过；花费（钱、时间等）
swap   v.交换（东西）
talent   n.天才，天赋
uncertain  a.不确定的
value  n.价值，益处
wake  v.醒来,叫醒
yet  ad.尚，还，仍然
zoo  n.动物园
convenience   n.便利
button  n.纽扣；（电铃等的）按钮v.扣（纽扣）
about   ad.大约；到处；四处prep.关于；在各处；四处
bad  a.坏的；有害的，不利的；严重的
calm   a.镇静,沉着的v.镇静沉着
dare   v.&aux..（后接不带to的不定式；主要用于疑问，否定或条件句）敢，敢于
ease  v.减轻；缓解（难度或严重程度）
fair   a.公平的，合理的a.白皙的；（人）白肤金发的n.集市；庙会；展览会
gardening   n.园艺学
hammer  n.锤子，锣锤
if  conj.如果,假使,是否,是不是
jeans  n.牛仔裤
kilo  n.千克；千米
lame   a.跛的，瘸的，残废的
main  a.主要的
natural   a.自然的
Oceania*n.大洋洲
pain   n.疼痛，疼
questionnaire  n.调查表，问卷
rail  n.铁路
sailor  n.水手，海员
show  v.给…看,出示,显示
spin  v.&n.纺，（使）快速旋转；旋转，旋转运动
swear   v.咒骂.,诅咒
talk   n.&v.谈话,讲话,演讲,交谈
uncle  n.叔,伯,舅,姑夫,姨父
vanilla  n.香草
walk  n.&v.步行；散步
yoghurt  n.酸奶
zoom  v.快速移动，迅速前往，猛涨
authentic   a.真正的，真品的
conductor   n.管理人；指导者；（车上的）售票员，列车员；乐队指挥
above  prep.在……上面a.上面的ad.在……之上
badly   ad.坏，恶劣地
camel   n.骆驼
dark   n.黑暗；暗处；日暮a.黑暗的；暗淡的；深色的
easily   ad.容易地
fairly   ad.公正地，正当地；相当（程度）地
garlic   n.大蒜
hand  n.手；指针v.递；给；交付交上；交进
ignore  v.忽视，对…不理会
jeep  n.吉普车
kilogram  n.千克
lamp  n.灯，油灯；光源
mainland  n.大陆
nature  n.自然,性质，种类
o'clock  n.点钟
painful  a.使痛的，使痛苦的
queue  n.行列，长队
railway  n.铁路；铁道
salad  n.色拉（西餐中的一种菜）
shower   n.阵雨；淋浴
spirit  n.精神
sweat   n.汗，汗水
tall   a.高的
uncomfortable  a.令人不舒服的
variety  n.种种，种类
walkman  n.随身听
you  pron.你；你们
convenient   a.便利的，方便的
programmen.节目；项目
abroad   ad.到（在）国外
badminton   n.羽毛球
camera   n.照相机；摄像机
darkness   n.黑暗，阴暗
east  a.东方；东部的；朝东的；从东方来ad.在东方；向东方；从东方n.东，东方；东部
fairness  n.公平；公正
garment   n.（一件）衣服
handbag  n.女用皮包，手提包
ill  a.有病的；不健康的
jet  n.喷气式飞机；喷射（器）
kilometr  en.千米（公里）
land  n.陆地,土地v.登岸降落
major  a.较大的；主要的
navy   n.海军
October   n.10月
paint  n.油漆vt.油漆,粉刷,绘画
quick  a.快；敏捷的；急剧的ad.快地；敏捷地；急剧地
rain  n.雨，雨水vi.下雨
salary  n.薪金，薪水
shrink  v.缩小，收缩，减少
spiritual  a.精神的；心灵的
sweater   n.厚运动衫，毛衣
tank   n.储水容量；坦克
unconditional  a.无条件，绝对的
various  a.各种各样的，不同的
wall  n.墙
young  a.年轻的
author   n.作者，作家
ash   n.灰；灰末
abrupt   a.突然的，意外的，粗鲁
bag   n.书包；提包；袋子
camp   n.（夏令）营vi.野营,宿营
dash   v.&n.快跑，冲刺，短跑
Easter   n.复活节
faith   n.信仰；信念
gas   n.煤气
handful  n.把；少数，少量
illegal  a.非法的
jewel  n.宝石
kind  n.种;类a.善良,友好的
language   n.语言
majority  n.大多数
near   a.近的ad.附近，邻近prep.在……附近，靠近
of  prep.….的
painter  n.绘画者,（油）画家
quiet  a.安静的；寂静的
rainbow  n.虹，彩虹
sale  n.卖，出售
shut  v.n.关上，封闭；禁闭；
spit  v.吐唾沫；吐痰
sweep   v.扫除，扫
tanker   n.油船
unconscious  a.昏迷,不省人事的
vase  n.（花）瓶；瓶饰
wallet  n.皮夹
your  pron.你的；你们的
conventional   a.依照惯例的，习惯的
buy  vt.买
absence   n.不在，缺席
baggage   n.行李
campaign   n.运动，战役
data   n.资料，数据
eastern   a.东方的；东部的
fall   n.（美）秋季
gate   n.大门
handkerchief  n.手帕
illness  n.疾病
jewelry  n.（总称）珠宝
kindergarten  n.幼儿园
lantern  n.灯笼；提灯
make  vt.制造,做;使得n.样式；制造
nearby  a.附近的
off   prep.离开,脱离,（走）开
painting  n.油画，水彩画
quilt  n.被子；被状物
raincoat  n.雨衣
salesgirl  n.女售货员
shuttle   vn.合拢（往返与两个定点之间的）（火车汽车飞机）班车/机
splendid  a.灿烂的，辉煌的；（口语）极好的
sweet   n.甜食;蜜饯;甜点;糖果;芳香a.甜的;新鲜的;可爱的;亲切的
tap   n.龙头
under  ad.&prep.在…下面，向…下面
vast  a.巨大的，广阔的
walnut  n.核桃，胡桃
yours  pron.你的；你们的
authority  n.权力,权威,威信,官方
confident   a.自信的
absent  a.缺席，不在
bake   v.烤；烘（面包）
can v.可能；能够；可以不能n.（美）罐头；罐子
database   n.资料库，数据库
eastwards   ad.向东
fall   vi.落（下），降落；倒
gather   v.聚集；采集
handle  n.柄，把柄v.处理
imagine  vt.想像，设想
job  n.（一份）工作
